Journal,Field,DAS,policy,policyYYYY,policyMM,policyLink,policyEditorial,lastUpdated
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,Ecology,strgon,strong,NA,NA,https://www.elsevier.com/journals/perspectives-in-plant-ecology-evolution-and-systematics/1433-8319/guide-for-authors,NA,IN PROGRESS
PHYTOCOENOLOGIA,Ecology,none,none,NA,NA,https://www.schweizerbart.de/journals/phyto/instructions,NA,12-05-2023
PLANT ECOLOGY,Ecology,none,weak,NA,NA,https://www.springer.com/journal/11258/submission-guidelines?detailsPage=pltci_1060329,NA,12-05-2023
PLANT SPECIES BIOLOGY,Ecology,none,weak,NA,NA,https://esj-journals.onlinelibrary.wiley.com/hub/journal/14421984/homepage/forauthors.html,NA,12-05-2023
PLANT SYSTEMATICS AND EVOLUTION,Evolutionary Biology,strong,weak,2018,4,https://www.springer.com/journal/606/submission-guidelines,NA,12-05-2023
POLAR BIOLOGY,Ecology,strong,weak,NA,NA,https://www.springer.com/journal/300/submission-guidelines,NA,12-05-2023
POLAR RECORD,Ecology,weak,weak,NA,NA,https://www.cambridge.org/core/journals/polar-record/information/journal-policies/research-transparency,NA,12-05-2023
POLAR RESEARCH,Ecology,none,none,NA,NA,https://polarresearch.net/index.php/polar/author,NA,12-05-2023
POLAR SCIENCE,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/polar-science/1873-9652/guide-for-authors,NA,12-06-2021
POLISH JOURNAL OF ECOLOGY,Ecology,none,none,NA,NA,https://miiz.waw.pl/pl/16-wydawnictwa/681-polish-journal-of-ecology-instruction-for-authors-2,NA,12-05-2023
POLISH POLAR RESEARCH,Ecology,none,none,NA,NA,http://journals.pan.pl/ppr/,NA,12-05-2023
POPULATION ECOLOGY,Ecology,none,weak,NA,NA,https://esj-journals.onlinelibrary.wiley.com/hub/journal/1438390X/homepage/forauthors.html,NA,12-05-2023
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,Ecology,none,none,NA,NA,https://ansp.org/research/systematics-evolution/resources/scientific-publications/submission-guidelines/,NA,12-05-2023
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,Ecology,none,none,NA,NA,https://linneansocietynsw.org.au/wp-content/uploads/2022/12/Linnean_Soc_NSW-Author-Guidelines.pdf,NA,12-05-2023
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Eco/Evo,strong,strong,2014,1,https://royalsociety.org/journals/ethics-policies/data-sharing-mining/,NA,12-06-2021
RANGELAND ECOLOGY & MANAGEMENT,Ecology,weak,weak,NA,NA,https://www.elsevier.com/journals/rangeland-ecology-and-management/1550-7424/guide-for-authors,NA,12-05-2023
RANGELAND JOURNAL,Ecology,strong,weak,2021,6,https://www.publish.csiro.au/rj/forauthors/AuthorInstructions,NA,12-05-2023
REGIONAL STUDIES IN MARINE SCIENCE,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/regional-studies-in-marine-science/2352-4855/guide-for-authors,NA,IN PROGRESS
REMOTE SENSING IN ECOLOGY AND CONSERVATION,Ecology,weak,weak,NA,NA,https://zslpublications.onlinelibrary.wiley.com/hub/journal/20563485/author-guidelines,NA,12-05-2023
RESTORATION ECOLOGY,Ecology,strong,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/1526100x/homepage/forauthors.html,NA,12-05-2023
REVISTA CHILENA DE HISTORIA NATURAL,Ecology,strong,weak,NA,NA,https://revchilhistnat.biomedcentral.com/submission-guidelines/preparing-your-manuscript/research-article,NA,12-05-2023
REVUE D ECOLOGIE-LA TERRE ET LA VIE,Ecology,none,none,NA,NA,https://www.snpn.com/wp-content/uploads/2017/03/Instructions-auteurs-anglais.pdf,NA,12-05-2023
RUSSIAN JOURNAL OF ECOLOGY,Ecology,none,none,NA,NA,https://www.pleiades.online/en/journal/ecol/authors-instructions/,NA,12-05-2023
SOUTHEASTERN NATURALIST,Ecology,none,none,NA,NA,https://www.eaglehill.us/programs/journals/sena/SENA-formatting-guidelines.pdf,NA,12-05-2023
SOUTHWESTERN NATURALIST,Ecology,none,none,NA,NA,https://saon.wildapricot.org/resources/Documents/SWNat%20Instructions%20for%20Authors-July2015%20revision%20(English).pdf,NA,12-05-2023
SYSTEMATIC BIOLOGY,Evolutionary Biology,weak,strong,2011,1,https://academic.oup.com/sysbio/pages/General_Instructions,https://blog.datadryad.org/2011/01/14/journals-implement-data-archiving-policy/,12-06-2021
SYSTEMATIC BOTANY,Evolutionary Biology,none,strong,NA,NA,https://aspt.net/s/SB-SBM-format-template.doc,https://onlinelibrary.wiley.com/doi/10.1111/ele.12610,12-06-2021
SYSTEMATIC ENTOMOLOGY,Evolutionary Biology,strong,strong,NA,NA,https://onlinelibrary.wiley.com/page/journal/13653113/homepage/ForAuthors.html,NA,IN PROGRESS
TAXON,Evolutionary Biology,none,none,NA,NA,https://onlinelibrary.wiley.com/page/journal/19968175/homepage/author-guidelines,NA,12-05-2023
THEORETICAL ECOLOGY,Ecology,none,weak,NA,NA,https://www.springer.com/journal/12080/submission-guidelines,NA,12-05-2023
THEORETICAL POPULATION BIOLOGY,Eco/Evo,weak,strong,NA,NA,https://www.elsevier.com/journals/theoretical-population-biology/0040-5809/guide-for-authors,NA,IN PROGRESS
TRENDS IN ECOLOGY & EVOLUTION,Eco/Evo,none,none,NA,NA,https://www.cell.com/trends/ecology-evolution/authors,NA,12-05-2023
TROPICAL ECOLOGY,Ecology,none,none,NA,NA,https://www.springer.com/journal/42965/submission-guidelines,NA,12-05-2023
URBAN ECOSYSTEMS,Ecology,none,weak,NA,NA,https://www.springer.com/journal/11252/submission-guidelines,NA,12-05-2023
VIE ET MILIEU-LIFE AND ENVIRONMENT,Ecology,none,none,NA,NA,https://wwwphp.obs-banyuls.fr/Viemilieu/index.php/instructions-to-authors.html,NA,12-05-2023
WEB ECOLOGY,Ecology,strong,weak,2018,11,https://www.web-ecology.net/about/data_policy.html,NA,12-05-2023
WESTERN NORTH AMERICAN NATURALIST,Ecology,none,none,NA,NA,https://scholarsarchive.byu.edu/wnan/styleguide.html,NA,12-05-2023
WETLANDS,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/13157/submission-guidelines,NA,12-05-2023
WILDLIFE BIOLOGY,Ecology,strong,strong,NA,NA,http://www.wildlifebiology.org/authors/author-guidelines-0,NA,IN PROGRESS
WILDLIFE MONOGRAPHS,Ecology,weak,weak,NA,NA,https://wildlife.onlinelibrary.wiley.com/hub/journal/19385455/forauthors.html,NA,12-05-2023
WILDLIFE RESEARCH,Ecology,strong,weak,2021,6,https://www.publish.csiro.au/wr/forauthors/AuthorInstructions,NA,12-05-2023
ZOOLOGICA SCRIPTA,Evolutionary Biology,none,none,NA,NA,https://onlinelibrary.wiley.com/page/journal/14636409/homepage/forauthors.html,NA,12-05-2023
